Kasiski search for repeated strings of size 2.

rq: 28| 16, 11, 5, 50, 38, 100, 114, 17, 80, 151, 22, 6, 79, 188, 83, 82, 4, 34, 29, 33, 13, 37, 37, 18, 84, 196, 216
qx: 20| 13, 14, 93, 68, 196, 203, 17, 253, 189, 8, 26, 29, 83, 23, 116, 61, 107, 28, 86
hv: 3| 604, 442
rp: 12| 49, 109, 42, 102, 744, 214, 203, 21, 75, 107, 21
pn: 6| 547, 449, 50, 380, 240
rh: 9| 50, 23, 102, 294, 304, 303, 300, 110
qf: 14| 118, 67, 52, 81, 138, 110, 38, 79, 197, 74, 72, 187, 246
fv: 4| 1282, 247, 180
ra: 27| 38, 105, 314, 8, 34, 38, 34, 3, 28, 35, 44, 56, 48, 106, 26, 35, 43, 11, 32, 3, 133, 4, 209, 70, 4, 116
ah: 7| 57, 580, 132, 16, 298, 552
hu: 4| 637, 132, 866
uh: 3| 1281, 427
hr: 3| 55, 1538
rz: 7| 621, 69, 358, 167, 104, 220
zr: 22| 33, 55, 107, 67, 190, 7, 162, 69, 358, 18, 50, 99, 4, 45, 4, 51, 90, 106, 24, 100, 56
hg: 3| 775, 765
gx: 4| 565, 425, 42
rx: 15| 100, 56, 37, 49, 252, 269, 17, 24, 60, 263, 117, 130, 29, 74
eh: 15| 49, 126, 16, 179, 124, 125, 85, 542, 41, 116, 4, 40, 135, 39
xe: 6| 367, 775, 139, 160, 36
gh: 4| 33, 721, 766
hz: 5| 162, 257, 812, 375
fc: 4| 650, 385, 438
cn: 6| 263, 174, 598, 124, 314
ni: 8| 253, 244, 33, 167, 258, 30, 12
rv: 30| 119, 25, 41, 37, 30, 13, 140, 7, 7, 162, 11, 54, 78, 24, 25, 60, 193, 50, 12, 91, 26, 74, 24, 90, 37, 30, 22, 17, 134
ve: 11| 185, 80, 154, 173, 132, 24, 292, 263, 23, 307
jh: 4| 594, 414, 499
ea: 9| 230, 30, 73, 96, 314, 272, 43, 309
qa: 17| 8, 16, 245, 80, 179, 79, 188, 83, 48, 154, 50, 114, 63, 106, 152, 9
ei: 3| 172, 1199
rm: 13| 22, 306, 254, 46, 403, 172, 107, 70, 46, 24, 165, 15
me: 17| 36, 30, 171, 60, 407, 64, 61, 220, 147, 23, 24, 175, 8, 106, 39, 72
qy: 21| 249, 12, 67, 90, 12, 90, 13, 66, 13, 43, 132, 61, 22, 13, 109, 143, 75, 148, 259, 20
yh: 5| 268, 181, 1058, 89
vx: 3| 667, 581
wh: 6| 626, 111, 60, 527, 249
jx: 7| 560, 177, 60, 219, 234, 226
vi: 10| 42, 466, 113, 414, 142, 247, 5, 39, 136
am: 11| 21, 99, 21, 552, 385, 6, 107, 287, 23, 18
qr: 11| 56, 18, 19, 10, 66, 958, 12, 212, 55, 20
ai: 8| 120, 224, 224, 31, 352, 106, 190
il: 8| 120, 479, 4, 454, 178, 79, 136
ll: 3| 120, 937
lb: 3| 120, 937
bq: 6| 120, 238, 502, 197, 121
pr: 7| 560, 102, 455, 192, 188, 32
em: 12| 100, 98, 68, 57, 282, 16, 66, 61, 67, 153, 367
rl: 7| 31, 170, 99, 622, 211, 196
mh: 3| 185, 473
pm: 9| 52, 130, 394, 79, 296, 71, 404, 120
pp: 5| 346, 273, 606, 5
pu: 3| 1082, 321
ji: 8| 439, 91, 400, 207, 33, 187, 120
wj: 3| 455, 709
mv: 9| 45, 492, 7, 37, 179, 133, 26, 250
cb: 3| 1255, 152
be: 7| 420, 178, 538, 75, 5, 250
eu: 4| 562, 510, 215
ph: 11| 53, 46, 169, 485, 180, 78, 62, 41, 109, 242
mp: 15| 11, 108, 181, 126, 46, 101, 63, 61, 35, 305, 142, 179, 23, 78
ur: 7| 67, 258, 225, 235, 490, 22
qm: 6| 108, 22, 159, 593, 414
xx: 7| 180, 403, 61, 150, 499, 108
iz: 4| 197, 607, 153
bc: 5| 700, 189, 69, 62
cp: 10| 46, 169, 485, 180, 78, 24, 38, 41, 113
qq: 6| 700, 258, 60, 164, 75
iu: 5| 753, 229, 247, 180
nm: 4| 672, 100, 438
ml: 5| 169, 66, 239, 221
lc: 3| 169, 646
yi: 6| 169, 162, 210, 61, 35
yx: 5| 67, 102, 225, 962
hy: 3| 181, 1040
lr: 12| 49, 19, 57, 282, 38, 513, 11, 119, 59, 7, 11
my: 4| 68, 57, 282
yr: 7| 68, 57, 282, 57, 60, 253
up: 5| 473, 367, 439, 85
rs: 5| 69, 404, 61, 321
sx: 5| 69, 404, 61, 321
ne: 4| 721, 112, 180
ab: 9| 147, 200, 14, 244, 179, 250, 33, 98
rr: 6| 173, 6, 267, 83, 337
va: 3| 679, 376
fm: 3| 174, 183
fx: 5| 252, 112, 60, 114
rc: 3| 722, 437
qi: 6| 462, 242, 76, 60, 218
xn: 3| 200, 258
ym: 6| 79, 188, 61, 22, 13
ff: 3| 79, 271
uv: 4| 113, 330, 578
if: 3| 89, 710
iw: 3| 698, 220
wr: 4| 5, 693, 220
vw: 3| 192, 60
py: 4| 210, 61, 35
jl: 4| 210, 61, 35
ib: 6| 27, 267, 318, 47, 315
bp: 4| 61, 499, 305
cr: 6| 370, 72, 228, 204, 72
qn: 4| 676, 217, 99
bx: 6| 129, 61, 561, 152, 44
um: 4| 44, 477, 375
md: 3| 389, 523
dr: 8| 241, 62, 36, 50, 148, 267, 108
rn: 6| 241, 62, 36, 198, 267
qu: 4| 61, 724, 91
fe: 3| 140, 293
rd: 4| 62, 36, 198
fh: 6| 139, 112, 101, 129, 64
mz: 5| 152, 141, 106, 180
mc: 4| 102, 79, 113
ej: 3| 181, 38
ef: 3| 247, 180
uu: 3| 247, 180
hm: 3| 85, 41
